date,product,price
2024-11-03,iPhone 13,601.52
2024-11-10,iPhone 13,589.8
2024-11-17,iPhone 13,592.27
2024-11-24,iPhone 13,586.16
2024-12-01,iPhone 13,601.53
2024-12-08,iPhone 13,610.17
2024-12-15,iPhone 13,607.81
2024-12-22,iPhone 13,608.77
2024-12-29,iPhone 13,609.89
2025-01-05,iPhone 13,616.11
2025-01-12,iPhone 13,617.55
2025-01-19,iPhone 13,616.91
2025-01-26,iPhone 13,618.32
2025-02-02,iPhone 13,615.06
2025-02-09,iPhone 13,614.79
2025-02-16,iPhone 13,617.37
2025-02-23,iPhone 13,628.51
2025-03-02,iPhone 13,632.24
2025-03-09,iPhone 13,634.85
2025-03-16,iPhone 13,636.77
2025-03-23,iPhone 13,641.35
2025-03-30,iPhone 13,636.61
2025-04-06,iPhone 13,636.54
2025-04-13,iPhone 13,629.88
2025-04-20,iPhone 13,633.56
2025-04-27,iPhone 13,630.7
2025-05-04,iPhone 13,625.23
2025-05-11,iPhone 13,622.07
2025-05-18,iPhone 13,615.66
2024-11-03,MacBook Air,1343.86
2024-11-10,MacBook Air,1340.19
2024-11-17,MacBook Air,1336.09
2024-11-24,MacBook Air,1332.06
2024-12-01,MacBook Air,1329.8
2024-12-08,MacBook Air,1335.17
2024-12-15,MacBook Air,1333.91
2024-12-22,MacBook Air,1330.65
2024-12-29,MacBook Air,1333.41
2025-01-05,MacBook Air,1332.71
2025-01-12,MacBook Air,1330.02
2025-01-19,MacBook Air,1322.32
2025-01-26,MacBook Air,1318.63
2025-02-02,MacBook Air,1315.23
2025-02-09,MacBook Air,1316.02
2025-02-16,MacBook Air,1310.92
2025-02-23,MacBook Air,1314.0
2025-03-02,MacBook Air,1311.91
2025-03-09,MacBook Air,1316.19
2025-03-16,MacBook Air,1315.04
2025-03-23,MacBook Air,1310.64
2025-03-30,MacBook Air,1309.28
2025-04-06,MacBook Air,1307.65
2025-04-13,MacBook Air,1304.78
2025-04-20,MacBook Air,1304.18
2025-04-27,MacBook Air,1300.61
2025-05-04,MacBook Air,1303.37
2025-05-11,MacBook Air,1308.4
2025-05-18,MacBook Air,1301.18
2024-11-03,Samsung Galaxy S23,579.22
2024-11-10,Samsung Galaxy S23,584.9
2024-11-17,Samsung Galaxy S23,584.0
2024-11-24,Samsung Galaxy S23,586.3
2024-12-01,Samsung Galaxy S23,581.11
2024-12-08,Samsung Galaxy S23,577.87
2024-12-15,Samsung Galaxy S23,594.62
2024-12-22,Samsung Galaxy S23,597.86
2024-12-29,Samsung Galaxy S23,606.17
2025-01-05,Samsung Galaxy S23,610.41
2025-01-12,Samsung Galaxy S23,617.35
2025-01-19,Samsung Galaxy S23,611.3
2025-01-26,Samsung Galaxy S23,613.63
2025-02-02,Samsung Galaxy S23,622.8
2025-02-09,Samsung Galaxy S23,618.66
2025-02-16,Samsung Galaxy S23,621.31
2025-02-23,Samsung Galaxy S23,623.54
2025-03-02,Samsung Galaxy S23,620.27
2025-03-09,Samsung Galaxy S23,621.97
2025-03-16,Samsung Galaxy S23,631.8
2025-03-23,Samsung Galaxy S23,631.63
2025-03-30,Samsung Galaxy S23,634.28
2025-04-06,Samsung Galaxy S23,633.48
2025-04-13,Samsung Galaxy S23,628.63
2025-04-20,Samsung Galaxy S23,638.53
2025-04-27,Samsung Galaxy S23,640.07
2025-05-04,Samsung Galaxy S23,632.05
2025-05-11,Samsung Galaxy S23,624.25
2025-05-18,Samsung Galaxy S23,622.5
2024-11-03,Sony WH-1000XM5,1057.68
2024-11-10,Sony WH-1000XM5,1057.47
2024-11-17,Sony WH-1000XM5,1051.55
2024-11-24,Sony WH-1000XM5,1053.41
2024-12-01,Sony WH-1000XM5,1048.34
2024-12-08,Sony WH-1000XM5,1048.01
2024-12-15,Sony WH-1000XM5,1052.11
2024-12-22,Sony WH-1000XM5,1054.82
2024-12-29,Sony WH-1000XM5,1052.37
2025-01-05,Sony WH-1000XM5,1049.69
2025-01-12,Sony WH-1000XM5,1042.09
2025-01-19,Sony WH-1000XM5,1040.27
2025-01-26,Sony WH-1000XM5,1037.2
2025-02-02,Sony WH-1000XM5,1039.56
2025-02-09,Sony WH-1000XM5,1037.06
2025-02-16,Sony WH-1000XM5,1044.17
2025-02-23,Sony WH-1000XM5,1044.63
2025-03-02,Sony WH-1000XM5,1042.29
2025-03-09,Sony WH-1000XM5,1043.91
2025-03-16,Sony WH-1000XM5,1035.89
2025-03-23,Sony WH-1000XM5,1051.06
2025-03-30,Sony WH-1000XM5,1046.75
2025-04-06,Sony WH-1000XM5,1045.83
2025-04-13,Sony WH-1000XM5,1049.16
2025-04-20,Sony WH-1000XM5,1051.42
2025-04-27,Sony WH-1000XM5,1049.33
2025-05-04,Sony WH-1000XM5,1043.39
2025-05-11,Sony WH-1000XM5,1048.99
2025-05-18,Sony WH-1000XM5,1060.12
